word,zipf
from,6.6300
than,6.1300
because,6.0300
against,5.6800
different,5.5900
however,5.5800
together,5.4600
important,5.4400
whether,5.3200
among,5.3100
gonna,5.2900
political,5.2900
available,5.2800
especially,5.2100
similar,5.2100
hey,5.1200
upon,5.1200
financial,5.0800
michael,5.0800
difficult,5.0700
wanna,5.0400
etc,5.0300
completely,5.0000
absolutely,4.9800
additional,4.9800
immediately,4.9800
definitely,4.9600
particularly,4.9600
generally,4.9500
gotta,4.9500
successful,4.9400
awesome,4.9200
literally,4.9100
eventually,4.8800
otherwise,4.8800
responsible,4.8800
therefore,4.8700
powerful,4.8500
wonderful,4.8500
traditional,4.8400
critical,4.8300
louis,4.8200
chris,4.8100
apparently,4.8000
dangerous,4.7900
extremely,4.7900
nor,4.7800
onto,4.7700
cultural,4.7500
dont,4.7400
democratic,4.7300
excellent,4.7300
entirely,4.7200
scott,4.7200
useful,4.7200
steve,4.7100
environmental,4.7000
expensive,4.6900
historical,4.6900
originally,4.6900
scientific,4.6700
comfortable,4.6600
emotional,4.6600
everywhere,4.6600
relatively,4.6600
numerous,4.6500
specifically,4.6500
approximately,4.6400
corporate,4.6400
basically,4.6300
incredible,4.6300
whenever,4.6300
alex,4.6200
jim,4.6200
unfortunately,4.6200
relevant,4.6100
educational,4.6000
kim,4.5900
reasonable,4.5900
accurate,4.5700
competitive,4.5700
personally,4.5700
ultimately,4.5700
hopefully,4.5600
kevin,4.5600
significantly,4.5400
attractive,4.5300
francisco,4.5300
officially,4.5300
somehow,4.5300
automatically,4.5200
carolina,4.5200
immediate,4.5200
presidential,4.5200
regularly,4.5200
clinical,4.5100
tim,4.5100
stephen,4.5000
davis,4.4900
effectively,4.4900
extensive,4.4900
historic,4.4900
initially,4.4900
kong,4.4900
santa,4.4900
consistent,4.4800
howard,4.4800
naturally,4.4800
necessarily,4.4800
primarily,4.4800
sarah,4.4800
simon,4.4800
brian,4.4700
everyday,4.4700
gotten,4.4700
impressive,4.4700
carefully,4.4600
donald,4.4600
elsewhere,4.4600
ridiculous,4.4600
administrative,4.4500
alongside,4.4500
respectively,4.4500
successfully,4.4500
unusual,4.4500
dave,4.4400
harris,4.4400
andy,4.4300
electrical,4.4200
essentially,4.4200
anthony,4.4100
disney,4.3900
gary,4.3900
occasionally,4.3900
potentially,4.3900
allen,4.3800
clark,4.3800
increasingly,4.3800
incredibly,4.3800
whilst,4.3800
gordon,4.3700
phil,4.3700
wayne,4.3700
anderson,4.3600
diego,4.3600
walter,4.3600
agricultural,4.3400
kate,4.3400
elementary,4.3300
prominent,4.3300
residential,4.3300
aggressive,4.3200
anne,4.3200
apparent,4.3200
ian,4.3200
justin,4.3200
sufficient,4.3200
versus,4.3200
amongst,4.3100
jon,4.3100
lawrence,4.3100
literary,4.3100
hillary,4.3000
similarly,4.3000
intelligent,4.2900
lisa,4.2900
remarkable,4.2900
experimental,4.2800
larry,4.2800
moore,4.2800
philip,4.2800
thompson,4.2800
acceptable,4.2700
hilarious,4.2700
psychological,4.2700
wherever,4.2700
alice,4.2600
barry,4.2600
conventional,4.2500
danny,4.2500
enormous,4.2500
nevertheless,4.2500
roy,4.2500
stewart,4.2500
artificial,4.2400
consistently,4.2400
exclusively,4.2400
mitchell,4.2400
susan,4.2400
aaron,4.2300
actively,4.2300
campbell,4.2300
controversial,4.2300
differently,4.2300
furthermore,4.2300
greg,4.2300
margaret,4.2300
mario,4.2300
regulatory,4.2300
subsequently,4.2300
unexpected,4.2300
accidentally,4.2200
affordable,4.2200
cancelled,4.2200
com,4.2200
magical,4.2200
productive,4.2200
continuous,4.2100
douglas,4.2100
identical,4.2100
jose,4.2100
operational,4.2100
repeatedly,4.2100
robinson,4.2100
vulnerable,4.2100
additionally,4.2000
amy,4.2000
barbara,4.2000
generous,4.2000
precisely,4.2000
congressional,4.1900
jennifer,4.1900
marie,4.1900
practically,4.1900
respective,4.1900
samuel,4.1900
stanley,4.1900
sustainable,4.1900
uncomfortable,4.1900
